,Unnamed: 0,Énergie,Gras,Gras Saturés,Glucides,Sucre,Protéine,Sel,Catégorie
91,Bacon Lover Chicken,743 kcal,"39,00g","10,000g","58,00g","9,30g","40,00g","9,50g",Plat
92,Master Double Cantal,1257 kcal,"79,70g","25,100g","61,50g","11,50g","73,00g","9,25g",Plat
93,Salade Green Chicken,443 kcal,"22,07g","8,610g","32,34g","8,53g","25,34g","0,01g",Plat
94,Petit Texas Bacon,382 kcal,"21,30g","7,200g","28,00g","5,00g","18,50g","4,00g",Plat
95,Chicken Strips,288 kcal,"13,20g","1,900g","22,90g","0,00g","20,00g","0,00g",Plat
96,Newggets,233 kcal,"9,80g",-,"21,70g","0,50g","15,30g","1,10g",Plat
97,Veggie Double Cheese Bacon XXL,846 kcal,"41,00g","15,000g","67,00g","13,00g","55,00g","5,60g",Plat
98,King Sundae Framboise ,205 kcal,"3,90g","2,800g","39,00g","35,00g","3,20g","0,40g",Dessert
99,Energy Cheesy Bowl,624 kcal,"36,00g","13,000g","44,00g","7,80g","28,00g","2,70g",Plat
100,Chicken Tendergrill,470 kcal,"18,00g",-,"39,00g",-,"37,00g",-,Plat
101,Big King Junior,348 kcal,"17,80g","6,300g","29,40g","5,90g","16,10g","0,00g",Plat
102,Veggie Big King XXL,872 kcal,"45,00g","15,000g","70,00g","12,00g","53,00g","5,50g",Plat
103,King Yaourt,66 kcal,"1,10g","0,700g","11,00g","11,00g","3,00g","0,77g",Dessert
104,Whopper Jr.,331 kcal,"17,00g","4,300g","29,00g","6,30g","14,00g","1,40g",Plat
105,Cheese Lover Original ,758 kcal,"42,30g","23,500g","48,30g","8,90g","43,90g","0,01g",Plat
106,Chicken BBQ,469 kcal,"25,00g","4,100g","42,00g","8,40g","17,00g","2,10g",Plat
107,Duo Gourmand ,222 kcal,"13,00g","5,400g","23,00g","17,00g","2,30g","0,44g",Plat
108,King Bio Carotte,36 kcal,"0,50g","0,500g","6,40g","5,40g","0,80g","0,01g",Accompagnement
109,Bacon Lover Double,1020 kcal,"65,00g","27,000g","45,00g","10,10g","63,00g","3,40g",Plat
110,King Waffle ,381 kcal,"17,00g","8,800g","51,40g","33,30g","4,70g","0,00g",Dessert
111,Creamy Shakes,465 kcal,"14,90g","9,700g","76,00g","60,70g","5,90g","1,00g",Dessert
