,Unnamed: 0,Énergie,Gras,Gras Saturés,Glucides,Sucre,Fibre,Protéine,Sel,Catégorie
68,Chicken McNuggets (9),395 kcal,"20,00g",-,"25,00g",-,,"25,00g","0,05g",Plat
69,Chicken McNuggets (6),270 kcal,"14,00g","3,500g","19,00g",-,,"17,00g",-,Plat
70,Muffin Chocolat,340 kcal,"18,00g","4,000g","39,00g","23,00g","2,0g","5,00g","2,50g",Dessert
71,Petite Salade,75 kcal,"6,00g","1,000g","4,00g","2,00g","1,0g","1,00g","1,75g",Accompagnement
72,Wrap Poulet et Crudités,544 kcal,"26,00g","4,000g","53,00g","4,00g","3,0g","23,00g","0,00g",Plat
73,Mayonnaise,27 kcal,"2,20g","0,100g","1,70g","1,10g","0,1g","0,10g","0,30g",Sauce
74,Big Mac Bacon,546 kcal,"28,00g","11,000g","42,00g","8,50g","3,1g","29,00g","2,50g",Plat
75,Double Cheese,451 kcal,"23,00g","11,000g","33,00g","6,80g","2,1g","27,00g","2,60g",Plat
76,McFlurry Kit Kat,283 kcal,"8,70g","5,800g","44,00g","38,00g","0,8g","6,70g","0,00g",Dessert
77,Cookie Chocolat Noisette,366 kcal,"18,00g","9,000g","45,00g","25,00g","2,0g","5,00g","0,50g",Dessert
78,Sundae Nature,210 kcal,"7,00g","5,000g","31,00g","27,00g",,"6,00g","0,20g",Dessert
79,Ptit Bœuf Sauce Deluxe,337 kcal,"17,00g","6,500g","29,00g","5,10g","1,8g","16,00g","1,50g",Plat
80,Chocolat Chaud,160 kcal,"4,40g","2,700g","22,00g","20,00g","1,9g","7,60g","0,20g",Dessert
81,Wrap Poulet Bacon (258g),566 kcal,"28,00g","5,700g","54,00g","5,40g","2,4g","23,00g","2,80g",Plat
82,McFish,283 kcal,"7,40g","0,900g","39,00g","7,90g","2,3g","14,00g",-,Plat
83,Chicken Avocado,672 kcal,"33,00g","8,763g","63,00g","6,80g","3,5g","29,00g","3,70g",Plat
84,Cookie Fourré Choconuts,382 kcal,"18,00g","5,000g","49,00g","30,00g","2,0g","5,00g",-,Dessert
85,McWrap Poulet Bacon,566 kcal,"28,00g","5,700g","54,00g","5,40g","2,4g","23,00g","2,80g",Plat
86,Cappuccino Daim,105 kcal,"6,00g",-,"9,00g",-,,"4,00g","0,00g",Dessert
87,Cookie Caramel et Noix de Pécan,364 kcal,"16,00g","4,000g","49,00g","27,00g","2,0g","5,00g","2,00g",Dessert
88,Ananas,36 kcal,"0,20g","0,000g","7,70g","7,70g","1,2g","0,40g","0,00g",Dessert
89,Big Tasty Chicken,797 kcal,"44,00g","12,000g","65,00g","11,00g","4,2g","33,00g","11,25g",Plat
90,Donut Nature ,287 kcal,"17,00g","8,000g","29,00g","10,00g","1,0g","4,00g","1,55g",Dessert
91,280 Original,785 kcal,"41,00g","18,000g","57,00g","6,10g","4,3g","45,00g","3,90g",Plat
92,La Caesar Salade Poulet Croustillant,409 kcal,"20,00g","7,300g","28,00g","1,40g","2,5g","28,00g","1,70g",Plat
93,McWrap Chèvre,550 kcal,"26,00g",-,"59,00g",-,"4,0g","15,00g","0,00g",Plat
94,Muffin Chocolat Noisette,595 kcal,"33,00g","5,700g","64,00g","42,00g","3,8g","8,10g","2,75g",Dessert
95,Café Viennois ,150 kcal,"13,00g",-,"7,00g",-,,"1,00g",-,Dessert
96,Grand Big Mac,841 kcal,"43,00g",-,"61,00g",-,"4,0g","50,00g","8,50g",Plat
97,Signature 1 Viande,699 kcal,"37,00g","3,000g","50,00g","8,00g",,"40,00g",-,Plat
98,Cappuccino,66 kcal,"2,00g","1,000g","8,00g","8,00g","0,0g","4,00g","0,00g",Dessert
99,Vinaigrette à L’Huile de Noisette,166 kcal,"18,00g","1,000g","1,00g","1,00g","0,0g","0,00g","0,60g",Sauce
100,La P'tite Salade + Sauce,75 kcal,"6,00g","1,000g","4,00g","2,00g","1,0g","1,00g","1,75g",Sauce
101,Yaourt à Boire,65 kcal,"2,00g",-,"10,00g",-,,"3,00g",-,Dessert
102,Macaron Pistache,90 kcal,"4,00g",-,"11,00g","8,00g",,"2,00g",-,Dessert
103,P'tit Kiwi,33 kcal,"0,30g","0,000g","5,90g","5,90g","1,9g","0,70g",-,Dessert
104,Ptit Ananas,41 kcal,"0,20g","0,000g","8,30g","8,30g","1,6g","0,50g","0,01g",Dessert
105,McFlurry Nature,201 kcal,"5,00g","4,000g","34,00g","31,00g",,"5,00g","0,00g",Dessert
106,Salade Italian Mozzarella,171 kcal,"7,50g","3,300g","20,10g","2,90g","1,1g","6,20g","3,00g",Plat
107,Beef BBQ Burger 2 Viandes,897 kcal,"49,00g","23,000g","51,00g","13,00g","4,0g","61,00g","0,01g",Plat
108,Macaron Vanille,95 kcal,"5,00g",-,"10,00g",-,,"2,00g",-,Dessert
109,Sauce Pommes-Frites,189 kcal,"15,00g","1,000g","11,80g","7,80g",,"0,50g","2,00g",Sauce
110,Salade Classic Caesar ,409 kcal,"20,00g","7,300g","28,00g","1,40g","2,5g","28,00g","1,40g",Plat
111,Twister Fries,215 kcal,"11,00g","1,000g","25,00g","2,00g","2,0g","3,00g","4,00g",Accompagnement
112,Donut Saveur Chocolat,362 kcal,"24,00g","11,000g","32,00g","15,00g","1,0g","4,00g","1,50g",Dessert
113,Triple Cheese,594 kcal,"33,00g","16,000g","35,00g","7,30g","2,1g","38,00g","3,30g",Plat
114,Chicken Big Tasty Bacon,844 kcal,"48,00g","14,000g","66,00g","11,00g","4,3g","34,00g","0,01g",Plat
115,Apple Pie,353 kcal,"13,00g","6,000g","54,00g","30,00g","2,0g","4,00g","0,75g",Dessert
116,Beef BBQ Burger 1 Viande,656 kcal,"32,00g","16,000g","50,00g","13,00g",,"40,00g","6,25g",Plat
117,Onion Rings (6),190 kcal,"8,40g",-,"29,30g",-,,"3,20g","2,10g",Accompagnement
118,Salade Chèvre Croustillant,451 kcal,"21,00g",-,"50,00g",-,,"13,00g","0,00g",Plat
119,Salade César ,152 kcal,"8,00g",-,"2,20g",-,"1,9g","19,00g","3,00g",Plat
120,McFirst Poisson Ranch,460 kcal,"22,00g","7,000g","43,00g","7,00g","3,0g","21,00g","5,25g",Plat
121,McFlurry Oreo,251 kcal,"7,00g","4,000g","41,00g","34,00g","0,0g","6,00g","0,75g",Dessert
122,Big Hot Dog,685 kcal,"37,00g","13,000g","60,00g","17,00g","4,0g","26,00g","9,50g",Plat
123,Mcflavor Fries Bacon + Cheese ,265 kcal,"14,00g","3,300g","28,00g","0,30g","2,7g","5,40g","1,00g",Accompagnement
124,Pancake Nature (2),150 kcal,"4,00g","3,000g","24,00g",-,"1,0g","4,00g",-,Dessert
125,Mon Bio à Boire,65 kcal,"1,70g","1,100g","9,30g","9,30g",,"3,00g",-,Dessert
126,La P’tite Salade,15 kcal,"0,00g",-,"2,00g",-,,"1,00g",-,Accompagnement
127,Fanta Orange (Petite),95 kcal,"0,00g","0,000g","24,00g","24,00g","0,0g","0,00g","0,00g",Boisson
128,Sauce Big Mac,61 kcal,"5,00g","0,000g","4,00g","3,00g",,"0,00g","0,20g",Sauce
129,Sauce César,70 kcal,"2,40g","1,200g","9,60g","5,30g",,"2,40g","3,25g",Sauce
130,Salade Pâtes Mozzarella ,510 kcal,"16,50g",-,"46,00g",-,,"22,00g","4,40g",Plat
131,P'tite Orange,30 kcal,"0,00g","0,000g","5,00g","5,00g","1,0g","1,00g","0,25g",Dessert
132,Salade César ,423 kcal,"21,00g","7,000g","32,00g","5,00g","7,0g","25,00g","0,01g",Plat
133,Frappé Vanille,180 kcal,"3,00g","3,000g","33,00g","29,00g","0,0g","5,00g","0,00g",Dessert
134,Big Mac Chicken,548 kcal,"22,00g","4,800g","60,00g","9,00g","3,1g","26,00g","3,00g",Plat
135,Compote ,47 kcal,"0,50g","0,100g","11,00g","10,00g","1,2g","0,50g","0,00g",Dessert
136,Cookie Chocolat Blanc Framboise,355 kcal,"18,00g",-,"45,00g",-,,"3,00g","1,50g",Dessert
137,P’Tit Wrap Veggie,280 kcal,"12,00g","3,000g","35,00g","3,00g","2,0g","7,00g","2,25g",Plat
138,Double Latte,60 kcal,"2,00g","1,000g","6,00g","3,00g","0,0g","4,00g","0,00g",Dessert
139,McWrap Poulet Croustillant & Bacon,608 kcal,"31,00g","7,000g","53,00g","5,00g","3,0g","27,00g","4,75g",Plat
140,Sprite (Moyen),145 kcal,"0,00g","0,000g","36,00g","36,00g","0,0g","0,00g","0,00g",Boisson
141,Minute Maid Orange (Moyen),140 kcal,"0,00g","0,000g","33,00g","32,00g","0,0g","2,00g","0,00g",Boisson
142,P’Tit Glacé Saveur Vanille ,68 kcal,"1,80g","1,200g","11,00g","9,00g","0,0g","1,80g","0,00g",Dessert
143,Fruits à Croquer,45 kcal,"0,00g","0,000g","10,00g","10,00g","1,0g","0,00g","0,00g",Dessert
144,Muffin aux Myrtilles,480 kcal,"22,00g","11,000g","63,00g","35,00g","1,0g","6,10g","2,75g",Dessert
145,Sauce à la Moutarde,38 kcal,"3,60g",-,"12,80g",-,,"2,00g","5,00g",Sauce
146,Jus d'orange,95 kcal,"0,00g",-,"22,00g",-,,"1,00g","0,00g",Boisson
147,McFirst Boeuf Ranch Moutarde,431 kcal,"21,00g","9,000g","33,00g","7,00g","3,0g","26,00g",-,Plat
148,Le P'tit Muffin aux Pépites de Chocolat,371 kcal,"19,00g","4,000g","45,00g","27,00g","2,0g","4,00g","1,00g",Dessert
149,Vinaigrette à L'Huile de Noisette (25g),166 kcal,"18,00g","1,000g","1,00g","1,00g","0,0g","0,00g","0,60g",Sauce
150,Berling'o Fruits 100% Fruits Pomme Acerola,58 kcal,"0,10g","0,000g","13,50g","13,00g","1,1g","0,30g","0,00g",Dessert
151,Grand Double Cheese ,662 kcal,"35,00g","18,000g","50,00g","11,00g","3,2g","41,00g","0,01g",Plat
152,Chicken BBQ,535 kcal,"19,00g","9,000g","51,00g","13,00g","4,0g","38,00g","0,01g",Plat
153,Wrap Poulet Poivre ,646 kcal,"34,00g",-,"54,00g",-,,"29,00g","0,01g",Plat
154,Blue Cheese & Bacon 1 Viande ,699 kcal,"37,00g","16,000g","50,00g","8,00g","3,0g","40,00g","8,50g",Plat
155,Nectar Bio,32 kcal,"0,10g",-,"7,40g","7,10g","0,2g","0,20g","0,25g",Boisson
156,McChicken Veggie,399 kcal,"15,00g","2,200g","45,00g","7,30g","6,4g","17,00g","5,00g",Plat
157,Grilled Cheese & Bacon,558 kcal,"36,00g","16,000g","23,00g","6,00g","1,0g","35,00g","6,00g",Plat
158,Muffin Oreo ,301 kcal,"11,00g","2,000g","46,00g","28,00g","1,0g","4,00g","1,50g",Dessert
159,Sauce New York Caesar,113 kcal,"12,00g","1,600g","0,60g","0,00g","0,1g","1,20g","0,00g",Sauce
160,Caesar Salad au Poulet Grillé (avec Sauce Caesar) ,285 kcal,"9,00g","5,000g","23,00g",-,"4,0g","28,00g","0,58g",Plat
161,Petites Tomates,20 kcal,"0,50g","0,000g","3,00g","1,80g","0,8g","0,50g","0,05g",Accompagnement
162,Triple Cheese Bacon ,608 kcal,"34,00g","17,000g","35,00g","7,30g","2,2g","39,00g","3,40g",Plat
163,Winter Fries,299 kcal,"18,00g","2,400g","29,00g",-,"3,7g","2,40g","0,00g",Accompagnement
164,Royal Crispy Bacon,562 kcal,"34,00g","13,000g","32,00g","6,90g","1,9g","31,00g",-,Plat
