,Unnamed: 0,Énergie,Gras,Gras Saturés,Glucides,Sucre,Fibre,Protéine,Sel,Catégorie
219,McWrap Poulet Poivre,646 kcal,"34,00g","8,000g","54,00g","5,00g","4,0g","29,00g","6,25g",Plat
220,P’tit Wrap Crispy Mozza,312 kcal,"14,00g",-,"38,00g","3,00g","1,0g","8,00g",-,Plat
221,P'tit Melon,28 kcal,"0,00g","0,000g","6,00g","6,00g","1,0g","1,00g","0,00g",Dessert
222,Bagel Bacon,572 kcal,"30,00g",-,"41,00g",-,,"34,00g","3,50g",Plat
223,Brownie Stick Caramel & Biscuit,285 kcal,"15,00g",-,"33,00g",-,,"4,00g","0,50g",Dessert
224,Petit Charolais,325 kcal,"15,00g",-,"31,00g",-,,"17,00g",-,Plat
225,Burger Fromage Fondu Pané,550 kcal,"26,00g","7,000g","57,00g","12,00g","4,0g","20,00g","2,31g",Plat
226,Double Shiny Bacon,803 kcal,"45,00g",-,"52,00g",-,,"47,00g","0,01g",Plat
227,Very Parfait Caramel,486 kcal,"13,00g","10,000g","86,00g","66,00g","0,0g","6,00g","1,00g",Dessert
228,P’Tit Fish & Chips,354 kcal,"14,00g","1,400g","42,00g","0,70g","3,8g","13,00g","0,90g",Plat
229,Sauce Chèvre Fondu,328 kcal,"29,00g","3,100g","15,00g","4,30g","0,2g","1,30g","1,90g",Sauce
230,Crumble Pomme Fruits Rouges,220 kcal,"9,00g",-,"33,00g",-,"5,0g","2,00g","0,00g",Dessert
231,McFlurry Amandes & Nuts,365 kcal,"18,00g",-,"39,00g",-,,"10,00g","0,00g",Dessert
232,Salade Fromagère ,372 kcal,"28,00g","11,000g","4,00g","1,00g","0,0g","26,00g","2,50g",Plat
233,Cône à la Fraise ,144 kcal,"2,00g","1,000g","29,00g","19,00g","1,0g","2,00g","0,25g",Dessert
234,Boeuf Ranch Moutarde,442 kcal,"24,00g","9,500g","32,00g","6,20g","2,7g","25,00g","4,00g",Plat
235,Salade Manhattan Poulet Mariné et Frit,337 kcal,"15,00g","2,000g","27,00g","18,00g","5,0g","21,00g","0,00g",Plat
236,McWrap Bœuf Deluxe ,464 kcal,"26,00g","10,000g","37,00g","3,90g","2,6g","19,00g","0,01g",Plat
237,Chicken Avocado,238 kcal,"12,00g","3,100g","22,00g","2,40g","1,2g","10,00g","1,30g",Plat
238,Fish Wasabi,346 kcal,"14,00g","2,800g","40,00g","6,30g","2,0g","14,00g","1,50g",Plat
239,Chicken Mythic Sauce Tex Mex,624 kcal,"30,00g",-,"59,00g",-,,"27,00g",-,Plat
240,Ice Squeeze,111 kcal,"3,00g","2,000g","18,00g","17,00g","0,0g","3,00g","0,00g",Dessert
241,Very Parfait Nature,228 kcal,"11,00g","8,000g","28,00g","26,00g","0,0g","4,00g","0,50g",Dessert
242,Chicken Bacon & BBQ,652 kcal,"30,00g","9,000g","65,00g","7,00g","3,0g","29,00g","16,00g",Plat
243,Tartelette Gourmande aux Pommes,305 kcal,"13,00g",-,"40,00g",-,,"6,00g","0,00g",Dessert
244,Sauce Vinaigrette à L’Huile D’Olive et au Vinaigre Balsamique,559 kcal,"59,00g","8,600g","5,90g","5,10g",,"0,20g","2,75g",Sauce
245,Double Cheddar & Beef,899 kcal,"51,00g","26,000g","54,00g","15,00g","4,0g","54,00g","4,00g",Plat
246,Frappé Saveur Coco,159 kcal,"3,00g","3,000g","32,00g","27,00g","0,0g","5,00g","0,25g",Dessert
247,Casse Croûte Poulet Crudités,635 kcal,"30,00g","4,000g","68,00g","4,00g","5,0g","21,00g","7,50g",Plat
248,Very Parfait,509 kcal,"21,00g","16,000g","71,00g","65,00g","2,0g","8,00g","1,50g",Dessert
249,Le Grand Veggie,763 kcal,"33,00g","7,000g","88,00g","16,00g","11,0g","23,00g","10,75g",Plat
250,McWrap Veggie,266 kcal,"15,00g","3,500g","27,00g","4,00g","0,9g","6,10g","0,00g",Plat
251,BBO,739 kcal,"45,00g","16,000g","42,00g","6,50g","3,1g","40,00g","2,20g",Plat
252,Crousties,257 kcal,"15,00g","1,700g","27,00g","0,20g",,"2,50g","0,90g",Accompagnement
253,P'tit Chicken & Fries,425 kcal,"18,00g","2,000g","47,00g","4,00g",,"17,00g","1,30g",Plat
